#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-04-03T20:01:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ac3dc3b1b7c5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+AS/130/65&tab:{J/A+AS/130/65/lcb98cor}&key:source=J/A+AS/130/65/lcb98cor&HTTPPRM:&
#-source=J/A+AS/130/65/lcb98cor
#-order=I
#-out=Teff
#-out=logg
#-out=[Fe/H]
#-out=U-B
#-out=B-V
#-out=V-R
#-out=V-I
#-out=V-K
#-out=R-I
#-out=J-H
#-out=J-K
#-out=J-L
#

#RESOURCE=yCat_41300065
#Name: J/A+AS/130/65
#Title: A standard stellar library. II. (Lejeune+ 1998)
#Table	J_A_AS_130_65_lcb98cor:
#Name: J/A+AS/130/65/lcb98cor
#Title: All files lcb98*.cor: Synthetic colors from corrected Stellar Energy Distributions (SEDS)
#Column	Teff	(F6)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F6.2)	Surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]	(F4.1)	Metallicity	[ucd=phys.abund.Fe]
#Column	U-B	(F7.3)	(U-B) colour (energy-weighted)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F7.3)	(B-V) colour (energy-weighted)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-R	(F7.3)	(V-R) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-I	(F7.3)	(V-I) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	V-K	(F7.3)	(V-K) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	R-I	(F7.3)	(R-I) colour (energy-weighted)	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	J-H	(F7.3)	(J-H) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.H]
#Column	J-K	(F7.3)	(J-K) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.K]
#Column	J-L	(F7.3)	(J-L) colour (energy-weighted)	[ucd=phot.color;em.opt.R;em.opt.I]
Teff;logg;[Fe/H];U-B;B-V;V-R;V-I;V-K;R-I;J-H;J-K;J-L
 17000;  5.00;-0.2; -0.639; -0.155; -0.083; -0.172; -0.545; -0.089; -0.070; -0.128; -0.175
 18000;  2.50;-0.2; -0.844; -0.184; -0.075; -0.165; -0.579; -0.090; -0.070; -0.140; -0.192
 18000;  3.00;-0.2; -0.778; -0.197; -0.083; -0.179; -0.584; -0.096; -0.072; -0.140; -0.191
 18000;  3.50;-0.2; -0.739; -0.196; -0.085; -0.182; -0.583; -0.097; -0.073; -0.139; -0.190
 18000;  4.00;-0.2; -0.713; -0.190; -0.087; -0.184; -0.582; -0.097; -0.074; -0.138; -0.189
 18000;  4.50;-0.2; -0.695; -0.180; -0.088; -0.184; -0.582; -0.096; -0.074; -0.137; -0.188
 18000;  5.00;-0.2; -0.683; -0.168; -0.089; -0.185; -0.583; -0.096; -0.074; -0.137; -0.188
 19000;  2.50;-0.2; -0.895; -0.189; -0.078; -0.173; -0.615; -0.095; -0.076; -0.151; -0.209
 19000;  3.00;-0.2; -0.820; -0.205; -0.088; -0.191; -0.624; -0.103; -0.078; -0.150; -0.206
 19000;  3.50;-0.2; -0.779; -0.206; -0.091; -0.195; -0.621; -0.104; -0.078; -0.148; -0.204
 19000;  4.00;-0.2; -0.753; -0.200; -0.092; -0.196; -0.618; -0.104; -0.078; -0.147; -0.202
 19000;  4.50;-0.2; -0.734; -0.191; -0.093; -0.196; -0.617; -0.103; -0.079; -0.146; -0.201
 19000;  5.00;-0.2; -0.723; -0.179; -0.094; -0.196; -0.618; -0.102; -0.079; -0.146; -0.200
 20000;  3.00;-0.2; -0.861; -0.213; -0.093; -0.202; -0.661; -0.109; -0.083; -0.160; -0.222
 20000;  3.50;-0.2; -0.817; -0.215; -0.096; -0.207; -0.657; -0.111; -0.083; -0.157; -0.217
 20000;  4.00;-0.2; -0.789; -0.210; -0.098; -0.207; -0.653; -0.110; -0.083; -0.156; -0.215
 20000;  4.50;-0.2; -0.771; -0.202; -0.098; -0.207; -0.651; -0.109; -0.083; -0.154; -0.213
 20000;  5.00;-0.2; -0.759; -0.190; -0.099; -0.207; -0.651; -0.108; -0.083; -0.154; -0.212
 21000;  3.00;-0.2; -0.900; -0.219; -0.097; -0.211; -0.694; -0.114; -0.088; -0.170; -0.237
 21000;  3.50;-0.2; -0.852; -0.223; -0.101; -0.217; -0.692; -0.117; -0.088; -0.167; -0.231
 21000;  4.00;-0.2; -0.823; -0.219; -0.102; -0.218; -0.686; -0.116; -0.087; -0.164; -0.227
 21000;  4.50;-0.2; -0.804; -0.212; -0.103; -0.218; -0.683; -0.115; -0.087; -0.163; -0.225
 21000;  5.00;-0.2; -0.792; -0.201; -0.104; -0.218; -0.682; -0.114; -0.087; -0.162; -0.224
 22000;  3.00;-0.2; -0.935; -0.224; -0.100; -0.218; -0.721; -0.118; -0.092; -0.178; -0.250
 22000;  3.50;-0.2; -0.886; -0.230; -0.105; -0.227; -0.723; -0.122; -0.093; -0.176; -0.245
 22000;  4.00;-0.2; -0.855; -0.227; -0.107; -0.229; -0.718; -0.122; -0.092; -0.173; -0.241
 22000;  4.50;-0.2; -0.836; -0.220; -0.108; -0.228; -0.714; -0.121; -0.091; -0.171; -0.237
 22000;  5.00;-0.2; -0.823; -0.210; -0.108; -0.228; -0.712; -0.119; -0.091; -0.169; -0.236
 23000;  3.00;-0.2; -0.967; -0.230; -0.102; -0.224; -0.745; -0.122; -0.095; -0.184; -0.260
 23000;  3.50;-0.2; -0.917; -0.236; -0.109; -0.235; -0.752; -0.126; -0.097; -0.184; -0.258
 23000;  4.00;-0.2; -0.885; -0.235; -0.111; -0.238; -0.748; -0.127; -0.096; -0.181; -0.254
 23000;  4.50;-0.2; -0.865; -0.229; -0.112; -0.238; -0.744; -0.126; -0.095; -0.179; -0.250
 23000;  5.00;-0.2; -0.852; -0.219; -0.113; -0.237; -0.741; -0.125; -0.095; -0.177; -0.248
 24000;  3.00;-0.2; -0.995; -0.237; -0.106; -0.231; -0.770; -0.125; -0.098; -0.191; -0.269
 24000;  3.50;-0.2; -0.945; -0.242; -0.112; -0.242; -0.777; -0.130; -0.101; -0.191; -0.270
 24000;  4.00;-0.2; -0.914; -0.241; -0.115; -0.246; -0.776; -0.131; -0.100; -0.189; -0.266
 24000;  4.50;-0.2; -0.892; -0.236; -0.116; -0.247; -0.772; -0.131; -0.100; -0.187; -0.263
 24000;  5.00;-0.2; -0.879; -0.228; -0.117; -0.247; -0.770; -0.130; -0.099; -0.185; -0.260
 25000;  3.00;-0.2; -1.022; -0.242; -0.109; -0.239; -0.795; -0.130; -0.102; -0.198; -0.280
 25000;  3.50;-0.2; -0.970; -0.249; -0.115; -0.250; -0.802; -0.135; -0.104; -0.198; -0.280
 25000;  4.00;-0.2; -0.940; -0.248; -0.118; -0.253; -0.801; -0.136; -0.104; -0.197; -0.278
 25000;  4.50;-0.2; -0.919; -0.243; -0.119; -0.255; -0.799; -0.135; -0.104; -0.195; -0.275
 25000;  5.00;-0.2; -0.905; -0.235; -0.120; -0.255; -0.797; -0.135; -0.103; -0.193; -0.272
 26000;  3.00;-0.2; -1.050; -0.245; -0.110; -0.242; -0.815; -0.132; -0.106; -0.204; -0.290
 26000;  3.50;-0.2; -0.992; -0.256; -0.119; -0.258; -0.827; -0.139; -0.107; -0.205; -0.290
 26000;  4.00;-0.2; -0.963; -0.254; -0.121; -0.261; -0.825; -0.140; -0.107; -0.203; -0.288
 26000;  4.50;-0.2; -0.943; -0.249; -0.122; -0.262; -0.823; -0.140; -0.107; -0.202; -0.286
 26000;  5.00;-0.2; -0.929; -0.242; -0.124; -0.263; -0.822; -0.139; -0.106; -0.200; -0.284
 27000;  3.50;-0.2; -1.014; -0.263; -0.123; -0.267; -0.853; -0.144; -0.111; -0.212; -0.300
 27000;  4.00;-0.2; -0.984; -0.261; -0.125; -0.269; -0.849; -0.144; -0.111; -0.210; -0.298
 27000;  4.50;-0.2; -0.965; -0.256; -0.126; -0.270; -0.847; -0.144; -0.110; -0.208; -0.296
 27000;  5.00;-0.2; -0.952; -0.249; -0.127; -0.270; -0.846; -0.143; -0.110; -0.207; -0.294
 28000;  3.50;-0.2; -1.035; -0.268; -0.126; -0.274; -0.876; -0.148; -0.115; -0.218; -0.310
 28000;  4.00;-0.2; -1.003; -0.268; -0.129; -0.277; -0.873; -0.149; -0.114; -0.216; -0.307
 28000;  4.50;-0.2; -0.985; -0.262; -0.129; -0.278; -0.870; -0.148; -0.114; -0.215; -0.305
 28000;  5.00;-0.2; -0.973; -0.256; -0.130; -0.278; -0.868; -0.148; -0.113; -0.214; -0.304
 29000;  3.50;-0.2; -1.056; -0.273; -0.128; -0.278; -0.893; -0.150; -0.117; -0.223; -0.317
 29000;  4.00;-0.2; -1.022; -0.274; -0.132; -0.285; -0.896; -0.153; -0.118; -0.222; -0.316
 29000;  4.50;-0.2; -1.003; -0.269; -0.133; -0.285; -0.892; -0.152; -0.117; -0.221; -0.313
 29000;  5.00;-0.2; -0.992; -0.262; -0.134; -0.285; -0.890; -0.151; -0.116; -0.219; -0.312
 30000;  3.50;-0.2; -1.075; -0.275; -0.128; -0.279; -0.903; -0.151; -0.119; -0.227; -0.321
 30000;  4.00;-0.2; -1.040; -0.280; -0.135; -0.292; -0.916; -0.157; -0.120; -0.228; -0.323
 30000;  4.50;-0.2; -1.021; -0.276; -0.136; -0.293; -0.914; -0.156; -0.120; -0.226; -0.321
 30000;  5.00;-0.2; -1.010; -0.269; -0.137; -0.292; -0.911; -0.155; -0.119; -0.225; -0.319
 31000;  3.50;-0.2; -1.092; -0.277; -0.127; -0.277; -0.907; -0.151; -0.119; -0.229; -0.324
 31000;  4.00;-0.2; -1.058; -0.285; -0.137; -0.296; -0.932; -0.159; -0.123; -0.232; -0.328
 31000;  4.50;-0.2; -1.038; -0.282; -0.139; -0.299; -0.932; -0.160; -0.122; -0.231; -0.327
 31000;  5.00;-0.2; -1.027; -0.275; -0.140; -0.299; -0.930; -0.159; -0.121; -0.230; -0.325
 32000;  4.00;-0.2; -1.074; -0.289; -0.138; -0.298; -0.943; -0.161; -0.124; -0.235; -0.332
 32000;  4.50;-0.2; -1.054; -0.288; -0.141; -0.304; -0.948; -0.162; -0.124; -0.235; -0.332
 32000;  5.00;-0.2; -1.044; -0.281; -0.142; -0.304; -0.947; -0.162; -0.124; -0.234; -0.330
 33000;  4.00;-0.2; -1.088; -0.292; -0.138; -0.299; -0.950; -0.161; -0.125; -0.238; -0.335
 33000;  4.50;-0.2; -1.070; -0.292; -0.143; -0.307; -0.960; -0.164; -0.126; -0.238; -0.336
 33000;  5.00;-0.2; -1.059; -0.287; -0.144; -0.309; -0.961; -0.165; -0.125; -0.238; -0.335
 34000;  4.00;-0.2; -1.101; -0.295; -0.138; -0.298; -0.953; -0.161; -0.126; -0.239; -0.338
 34000;  4.50;-0.2; -1.083; -0.296; -0.144; -0.309; -0.969; -0.166; -0.127; -0.241; -0.339
 34000;  5.00;-0.2; -1.073; -0.292; -0.146; -0.313; -0.972; -0.167; -0.127; -0.240; -0.339
 35000;  4.00;-0.2; -1.111; -0.296; -0.137; -0.297; -0.952; -0.160; -0.125; -0.239; -0.339
 35000;  4.50;-0.2; -1.095; -0.300; -0.144; -0.310; -0.975; -0.166; -0.128; -0.243; -0.342
 35000;  5.00;-0.2; -1.086; -0.297; -0.147; -0.315; -0.981; -0.168; -0.128; -0.243; -0.341
 37500;  4.50;-0.2; -1.118; -0.306; -0.143; -0.308; -0.976; -0.165; -0.128; -0.244; -0.345
 37500;  5.00;-0.2; -1.111; -0.305; -0.147; -0.316; -0.990; -0.168; -0.129; -0.246; -0.347
 40000;  4.50;-0.2; -1.131; -0.311; -0.143; -0.308; -0.977; -0.165; -0.127; -0.244; -0.346
 40000;  5.00;-0.2; -1.128; -0.311; -0.147; -0.314; -0.990; -0.168; -0.129; -0.246; -0.348
 42500;  5.00;-0.2; -1.138; -0.317; -0.147; -0.316; -0.994; -0.168; -0.129; -0.248; -0.351
 45000;  5.00;-0.2; -1.147; -0.322; -0.148; -0.318; -1.001; -0.170; -0.130; -0.250; -0.355
 47500;  5.00;-0.2; -1.153; -0.325; -0.149; -0.321; -1.009; -0.171; -0.131; -0.252; -0.358
 50000;  5.00;-0.2; -1.159; -0.328; -0.150; -0.323; -1.016; -0.173; -0.132; -0.254; -0.361
  2000;  4.00;-0.3;  2.046;  3.459;  3.377;  6.193; 11.550;  2.815;  1.033;  1.829;  2.668
  2000;  4.50;-0.3;  1.979;  3.511;  3.375;  6.215; 11.491;  2.839;  1.056;  1.804;  2.678
  2000;  5.00;-0.3;  1.943;  3.548;  3.387;  6.262; 11.383;  2.875;  1.067;  1.751;  2.686
  2000;  5.50;-0.3;  2.063;  3.674;  3.270;  6.131; 10.902;  2.862;  1.051;  1.644;  2.682
  2200;  3.50;-0.3;  2.329;  3.203;  2.728;  5.300;  9.756;  2.573;  0.725;  1.409;  2.042
  2200;  4.50;-0.3;  2.200;  3.324;  2.725;  5.328;  9.713;  2.602;  0.777;  1.422;  2.072
  2200;  5.50;-0.3;  2.086;  3.403;  2.735;  5.390;  9.468;  2.655;  0.803;  1.325;  2.079
  2500; -1.02;-0.3; -0.245;  1.440;  2.327;  4.798;  9.427;  2.471;  0.969;  1.387;  1.662
  2500; -0.70;-0.3; -0.245;  1.427;  2.193;  4.627;  8.991;  2.434;  0.935;  1.309;  1.549
  2500; -0.29;-0.3; -0.245;  1.401;  1.807;  4.132;  8.562;  2.325;  0.937;  1.285;  1.462
  2500;  5.50;-0.3;  1.948;  2.608;  2.251;  4.622;  8.041;  2.371;  0.687;  1.071;  1.516
  2800; -1.02;-0.3;  0.057;  1.467;  2.204;  4.638;  9.053;  2.435;  0.995;  1.418;  1.714
  2800; -0.70;-0.3;  0.057;  1.460;  2.094;  4.491;  8.652;  2.397;  0.992;  1.376;  1.629
  2800; -0.29;-0.3;  0.057;  1.452;  1.957;  4.302;  8.136;  2.345;  0.989;  1.321;  1.519
  2800;  3.50;-0.3;  1.910;  2.171;  1.858;  3.809;  6.929;  1.951;  0.570;  0.942;  1.294
  2800;  4.00;-0.3;  1.911;  2.162;  1.833;  3.796;  6.821;  1.963;  0.588;  0.979;  1.335
  2800;  4.50;-0.3;  1.791;  2.013;  1.858;  3.915;  6.940;  2.058;  0.601;  0.975;  1.309
  2800;  5.00;-0.3;  1.734;  2.011;  1.859;  3.942;  6.925;  2.083;  0.621;  0.985;  1.319
  3000; -0.70;-0.3;  0.363;  1.423;  2.012;  4.428;  8.577;  2.416;  0.995;  1.393;  1.682
  3000; -0.29;-0.3;  0.363;  1.422;  1.858;  4.213;  8.074;  2.356;  1.006;  1.364;  1.604
  3000;  0.28;-0.3;  0.363;  1.421;  1.661;  3.925;  7.413;  2.264;  1.002;  1.309;  1.501
  3000;  0.60;-0.3;  0.363;  1.419;  1.559;  3.768;  7.067;  2.209;  0.989;  1.269;  1.444
  3000;  4.00;-0.3;  1.700;  1.900;  1.498;  3.221;  5.904;  1.723;  0.599;  0.914;  1.193
  3000;  5.00;-0.3;  1.581;  1.831;  1.468;  3.255;  5.825;  1.787;  0.607;  0.929;  1.204
  3000;  5.50;-0.3;  1.505;  1.828;  1.466;  3.281;  5.810;  1.815;  0.619;  0.931;  1.208
  3200; -0.70;-0.3;  0.942;  1.435;  1.619;  3.942;  7.691;  2.323;  0.964;  1.345;  1.601
  3200; -0.51;-0.3;  0.942;  1.430;  1.480;  3.748;  7.427;  2.269;  0.974;  1.345;  1.595
  3200; -0.29;-0.3;  0.942;  1.424;  1.326;  3.525;  7.121;  2.200;  0.986;  1.345;  1.588
  3200;  0.28;-0.3;  0.942;  1.411;  1.000;  3.016;  6.404;  2.016;  1.006;  1.336;  1.566
  3200;  0.60;-0.3;  0.942;  1.405;  0.879;  2.813;  6.106;  1.935;  1.002;  1.321;  1.547
  3200;  3.50;-0.3;  1.492;  1.568;  1.375;  3.025;  5.767;  1.649;  0.741;  0.900;  1.039
  3200;  4.00;-0.3;  1.493;  1.640;  1.297;  2.849;  5.329;  1.552;  0.659;  0.896;  1.097
  3200;  4.50;-0.3;  1.449;  1.637;  1.259;  2.789;  5.130;  1.530;  0.620;  0.883;  1.104
  3200;  5.00;-0.3;  1.398;  1.651;  1.230;  2.745;  5.004;  1.515;  0.607;  0.884;  1.116
  3200;  5.50;-0.3;  1.337;  1.669;  1.213;  2.729;  4.932;  1.516;  0.610;  0.890;  1.128
  3350; -0.51;-0.3;  1.299;  1.516;  1.196;  3.185;  6.471;  1.989;  0.936;  1.269;  1.502
  3350; -0.29;-0.3;  1.299;  1.508;  1.100;  3.030;  6.280;  1.930;  0.952;  1.274;  1.502
  3350;  0.28;-0.3;  1.299;  1.492;  0.892;  2.669;  5.833;  1.777;  0.988;  1.284;  1.500
  3350;  0.60;-0.3;  1.299;  1.488;  0.852;  2.598;  5.743;  1.746;  0.993;  1.279;  1.492
  3350;  0.87;-0.3;  1.299;  1.486;  0.819;  2.537;  5.665;  1.718;  0.997;  1.275;  1.485
  3350;  4.00;-0.3;  1.403;  1.525;  1.184;  2.591;  4.938;  1.407;  0.715;  0.899;  1.056
  3350;  5.00;-0.3;  1.256;  1.576;  1.100;  2.377;  4.425;  1.276;  0.615;  0.865;  1.079
  3350;  5.50;-0.3;  1.178;  1.584;  1.081;  2.347;  4.328;  1.266;  0.600;  0.858;  1.083
  3500;  0.00;-0.3;  1.871;  1.803;  1.152;  2.691;  5.442;  1.539;  0.894;  1.197;  1.395
  3500;  0.50;-0.3;  1.655;  1.678;  1.109;  2.655;  5.439;  1.546;  0.912;  1.202;  1.396
  3500;  1.00;-0.3;  1.437;  1.560;  1.077;  2.635;  5.455;  1.558;  0.924;  1.202;  1.393
  3500;  1.50;-0.3;  1.238;  1.450;  1.054;  2.626;  5.482;  1.572;  0.931;  1.199;  1.388
  3500;  2.00;-0.3;  1.069;  1.355;  1.040;  2.627;  5.515;  1.587;  0.934;  1.195;  1.383
  3500;  2.50;-0.3;  0.943;  1.286;  1.038;  2.634;  5.531;  1.596;  0.929;  1.188;  1.376
  3500;  3.00;-0.3;  1.237;  1.476;  0.974;  2.145;  4.489;  1.171;  0.910;  1.035;  1.100
  3500;  3.50;-0.3;  1.170;  1.501;  0.999;  2.130;  4.228;  1.131;  0.765;  0.933;  1.052
  3500;  4.00;-0.3;  1.134;  1.512;  1.020;  2.133;  4.091;  1.112;  0.679;  0.876;  1.028
  3500;  4.50;-0.3;  1.142;  1.528;  1.044;  2.151;  4.045;  1.107;  0.648;  0.856;  1.018
  3500;  5.00;-0.3;  1.179;  1.547;  1.072;  2.178;  4.038;  1.106;  0.639;  0.851;  1.016
  3750;  0.00;-0.3;  2.196;  1.748;  1.039;  2.029;  4.200;  0.990;  0.802;  1.049;  1.210
  3750;  0.50;-0.3;  1.974;  1.657;  1.017;  2.003;  4.184;  0.986;  0.829;  1.065;  1.221
  3750;  1.00;-0.3;  1.765;  1.578;  1.000;  1.988;  4.180;  0.987;  0.848;  1.076;  1.227
  3750;  1.50;-0.3;  1.580;  1.509;  0.987;  1.979;  4.185;  0.992;  0.861;  1.081;  1.229
  3750;  2.00;-0.3;  1.426;  1.448;  0.977;  1.975;  4.197;  0.998;  0.868;  1.083;  1.229
  3750;  2.50;-0.3;  1.305;  1.397;  0.970;  1.976;  4.215;  1.006;  0.871;  1.082;  1.226
  3750;  3.00;-0.3;  1.470;  1.453;  0.896;  1.816;  3.956;  0.920;  0.892;  0.996;  1.052
  3750;  3.50;-0.3;  1.375;  1.453;  0.914;  1.837;  3.899;  0.923;  0.847;  0.963;  1.034
  3750;  4.00;-0.3;  1.278;  1.456;  0.931;  1.849;  3.760;  0.918;  0.737;  0.886;  1.000
  3750;  4.50;-0.3;  1.218;  1.451;  0.942;  1.857;  3.665;  0.915;  0.651;  0.831;  0.978
  3750;  5.00;-0.3;  1.192;  1.447;  0.952;  1.868;  3.630;  0.916;  0.614;  0.807;  0.967
  4000;  0.00;-0.3;  2.066;  1.602;  0.842;  1.575;  3.457;  0.733;  0.694;  0.878;  1.017
  4000;  0.50;-0.3;  1.859;  1.520;  0.826;  1.555;  3.442;  0.729;  0.723;  0.899;  1.031
  4000;  1.00;-0.3;  1.671;  1.451;  0.820;  1.548;  3.439;  0.728;  0.745;  0.915;  1.042
  4000;  1.50;-0.3;  1.512;  1.395;  0.819;  1.548;  3.442;  0.729;  0.762;  0.927;  1.050
  4000;  2.00;-0.3;  1.389;  1.351;  0.822;  1.553;  3.450;  0.731;  0.774;  0.935;  1.055
  4000;  2.50;-0.3;  1.298;  1.316;  0.827;  1.561;  3.464;  0.733;  0.783;  0.941;  1.058
  4000;  3.00;-0.3;  1.409;  1.359;  0.821;  1.579;  3.301;  0.758;  0.766;  0.873;  0.952
  4000;  3.50;-0.3;  1.367;  1.345;  0.831;  1.594;  3.318;  0.763;  0.764;  0.873;  0.950
  4000;  4.00;-0.3;  1.304;  1.347;  0.846;  1.619;  3.295;  0.773;  0.731;  0.849;  0.937
  4000;  4.50;-0.3;  1.218;  1.350;  0.857;  1.637;  3.217;  0.780;  0.653;  0.795;  0.915
  4000;  5.00;-0.3;  1.150;  1.343;  0.862;  1.645;  3.145;  0.784;  0.576;  0.747;  0.898
  4250;  0.00;-0.3;  1.794;  1.483;  0.744;  1.355;  2.967;  0.611;  0.601;  0.758;  0.885
  4250;  0.50;-0.3;  1.625;  1.408;  0.725;  1.332;  2.954;  0.607;  0.626;  0.779;  0.899
  4250;  1.00;-0.3;  1.467;  1.344;  0.716;  1.321;  2.950;  0.606;  0.647;  0.796;  0.910
  4250;  1.50;-0.3;  1.331;  1.291;  0.713;  1.320;  2.952;  0.607;  0.663;  0.809;  0.918
  4250;  2.00;-0.3;  1.224;  1.247;  0.716;  1.325;  2.960;  0.609;  0.677;  0.820;  0.925
  4250;  2.50;-0.3;  1.149;  1.213;  0.723;  1.334;  2.972;  0.611;  0.688;  0.829;  0.930
  4250;  3.00;-0.3;  1.165;  1.243;  0.678;  1.301;  2.907;  0.623;  0.646;  0.752;  0.855
  4250;  3.50;-0.3;  1.147;  1.229;  0.692;  1.317;  2.926;  0.625;  0.652;  0.757;  0.857
  4250;  4.00;-0.3;  1.147;  1.226;  0.708;  1.336;  2.945;  0.628;  0.652;  0.759;  0.857
  4250;  4.50;-0.3;  1.128;  1.232;  0.725;  1.362;  2.941;  0.637;  0.631;  0.745;  0.849
  4250;  5.00;-0.3;  1.065;  1.236;  0.735;  1.383;  2.898;  0.648;  0.578;  0.709;  0.837
  4500;  0.00;-0.3;  1.528;  1.408;  0.620;  1.158;  2.643;  0.537;  0.502;  0.613;  0.753
  4500;  0.50;-0.3;  1.398;  1.346;  0.601;  1.131;  2.632;  0.531;  0.522;  0.631;  0.764
  4500;  1.00;-0.3;  1.276;  1.293;  0.588;  1.116;  2.628;  0.529;  0.539;  0.647;  0.774
  4500;  1.50;-0.3;  1.169;  1.248;  0.581;  1.110;  2.629;  0.529;  0.552;  0.659;  0.782
  4500;  2.00;-0.3;  1.083;  1.210;  0.579;  1.109;  2.635;  0.530;  0.565;  0.671;  0.788
  4500;  2.50;-0.3;  1.019;  1.178;  0.581;  1.114;  2.644;  0.532;  0.575;  0.680;  0.794
  4500;  3.00;-0.3;  0.978;  1.153;  0.588;  1.123;  2.656;  0.535;  0.583;  0.688;  0.798
  4500;  3.50;-0.3;  0.963;  1.135;  0.599;  1.135;  2.671;  0.536;  0.590;  0.694;  0.800
  4500;  4.00;-0.3;  0.969;  1.126;  0.613;  1.151;  2.688;  0.538;  0.595;  0.699;  0.802
  4500;  4.50;-0.3;  0.991;  1.125;  0.631;  1.171;  2.707;  0.540;  0.596;  0.702;  0.802
  4500;  5.00;-0.3;  0.996;  1.131;  0.648;  1.194;  2.711;  0.547;  0.583;  0.693;  0.798
  4750;  0.00;-0.3;  1.201;  1.239;  0.545;  1.007;  2.346;  0.463;  0.458;  0.558;  0.682
  4750;  0.50;-0.3;  1.095;  1.189;  0.527;  0.982;  2.340;  0.455;  0.476;  0.574;  0.692
  4750;  1.00;-0.3;  1.001;  1.147;  0.515;  0.965;  2.338;  0.450;  0.489;  0.587;  0.699
  4750;  1.50;-0.3;  0.920;  1.111;  0.507;  0.955;  2.340;  0.449;  0.501;  0.598;  0.706
  4750;  2.00;-0.3;  0.855;  1.082;  0.502;  0.951;  2.344;  0.449;  0.510;  0.608;  0.711
  4750;  2.50;-0.3;  0.807;  1.057;  0.500;  0.950;  2.350;  0.450;  0.519;  0.616;  0.716
  4750;  3.00;-0.3;  0.776;  1.035;  0.502;  0.952;  2.358;  0.451;  0.527;  0.624;  0.719
  4750;  3.50;-0.3;  0.764;  1.018;  0.507;  0.959;  2.369;  0.452;  0.534;  0.630;  0.722
  4750;  4.00;-0.3;  0.771;  1.006;  0.516;  0.970;  2.382;  0.453;  0.539;  0.636;  0.724
  4750;  4.50;-0.3;  0.793;  0.999;  0.529;  0.984;  2.398;  0.455;  0.543;  0.640;  0.725
  4750;  5.00;-0.3;  0.824;  0.998;  0.545;  1.001;  2.413;  0.456;  0.544;  0.642;  0.724
  5000;  0.00;-0.3;  0.871;  1.062;  0.495;  0.927;  2.077;  0.432;  0.411;  0.504;  0.615
  5000;  0.50;-0.3;  0.782;  1.023;  0.482;  0.909;  2.079;  0.426;  0.429;  0.519;  0.623
  5000;  1.00;-0.3;  0.702;  0.991;  0.473;  0.895;  2.081;  0.422;  0.441;  0.531;  0.629
  5000;  1.50;-0.3;  0.635;  0.964;  0.466;  0.886;  2.084;  0.420;  0.451;  0.540;  0.635
  5000;  2.00;-0.3;  0.584;  0.942;  0.461;  0.880;  2.089;  0.419;  0.460;  0.548;  0.639
  5000;  2.50;-0.3;  0.546;  0.925;  0.458;  0.876;  2.094;  0.418;  0.468;  0.555;  0.642
  5000;  3.00;-0.3;  0.524;  0.910;  0.457;  0.876;  2.101;  0.418;  0.475;  0.562;  0.645
  5000;  3.50;-0.3;  0.517;  0.898;  0.459;  0.877;  2.108;  0.419;  0.481;  0.567;  0.647
  5000;  4.00;-0.3;  0.524;  0.889;  0.463;  0.882;  2.117;  0.419;  0.486;  0.573;  0.649
  5000;  4.50;-0.3;  0.546;  0.883;  0.471;  0.890;  2.127;  0.420;  0.491;  0.577;  0.650
  5000;  5.00;-0.3;  0.578;  0.881;  0.481;  0.902;  2.139;  0.421;  0.493;  0.579;  0.650
  5250;  0.00;-0.3;  0.615;  0.892;  0.452;  0.860;  1.891;  0.408;  0.378;  0.472;  0.573
  5250;  0.50;-0.3;  0.543;  0.865;  0.445;  0.850;  1.902;  0.406;  0.397;  0.487;  0.579
  5250;  1.00;-0.3;  0.477;  0.843;  0.439;  0.842;  1.911;  0.403;  0.411;  0.498;  0.585
  5250;  1.50;-0.3;  0.415;  0.824;  0.435;  0.838;  1.916;  0.403;  0.421;  0.506;  0.590
  5250;  2.00;-0.3;  0.368;  0.810;  0.432;  0.833;  1.923;  0.402;  0.430;  0.513;  0.594
  5250;  2.50;-0.3;  0.332;  0.799;  0.430;  0.831;  1.929;  0.401;  0.436;  0.519;  0.597
  5250;  3.00;-0.3;  0.310;  0.791;  0.428;  0.830;  1.935;  0.401;  0.442;  0.524;  0.599
  5250;  3.50;-0.3;  0.302;  0.785;  0.428;  0.829;  1.940;  0.401;  0.449;  0.529;  0.600
